Obsojeni polnoletni in mladoletni po: OBÈINE, LETO , KAZALNIK;;
;;
 ; ;Število obsojenih polnoletnih in mladoletnih oseb
SLOVENIJA;;
 ;2006;8630
 ;2007;9144
 ;2008;9228
 ;2009;8453
 ;2010;8423
 ;2011;7965
 ;2012;8825
 ;2013;11758
 ;2014;9729
 ;2015;8241
 ;2016;7006
Ajdovšèina;;
 ;2006;53
 ;2007;42
 ;2008;30
 ;2009;27
 ;2010;33
 ;2011;26
 ;2012;56
 ;2013;34
 ;2014;35
 ;2015;30
 ;2016;34
Ankaran/Ancarano;;
 ;2006;-
 ;2007;-
 ;2008;-
 ;2009;-
 ;2010;-
 ;2011;-
 ;2012;-
 ;2013;-
 ;2014;z
 ;2015;z
 ;2016;4
Apaèe;;
 ;2006;0
 ;2007;12
 ;2008;19
 ;2009;23
 ;2010;21
 ;2011;19
 ;2012;18
 ;2013;19
 ;2014;18
 ;2015;20
 ;2016;15
Beltinci;;
 ;2006;44
 ;2007;32
 ;2008;35
 ;2009;25
 ;2010;25
 ;2011;29
 ;2012;50
 ;2013;48
 ;2014;49
 ;2015;43
 ;2016;26
Benedikt;;
 ;2006;8
 ;2007;5
 ;2008;13
 ;2009;15
 ;2010;13
 ;2011;13
 ;2012;10
 ;2013;19
 ;2014;6
 ;2015;7
 ;2016;8
Bistrica ob Sotli;;
 ;2006;4
 ;2007;z
 ;2008;3
 ;2009;4
 ;2010;z
 ;2011;z
 ;2012;z
 ;2013;0
 ;2014;6
 ;2015;6
 ;2016;z
Bled;;
 ;2006;39
 ;2007;31
 ;2008;32
 ;2009;26
 ;2010;21
 ;2011;24
 ;2012;20
 ;2013;33
 ;2014;17
 ;2015;22
 ;2016;14
Bloke;;
 ;2006;z
 ;2007;3
 ;2008;0
 ;2009;z
 ;2010;4
 ;2011;z
 ;2012;z
 ;2013;z
 ;2014;5
 ;2015;z
 ;2016;6
Bohinj;;
 ;2006;8
 ;2007;13
 ;2008;18
 ;2009;19
 ;2010;7
 ;2011;7
 ;2012;5
 ;2013;5
 ;2014;11
 ;2015;11
 ;2016;3
Borovnica;;
 ;2006;13
 ;2007;13
 ;2008;6
 ;2009;9
 ;2010;5
 ;2011;4
 ;2012;4
 ;2013;13
 ;2014;8
 ;2015;18
 ;2016;11
Bovec;;
 ;2006;4
 ;2007;5
 ;2008;8
 ;2009;z
 ;2010;6
 ;2011;5
 ;2012;7
 ;2013;8
 ;2014;3
 ;2015;9
 ;2016;4
Braslovèe;;
 ;2006;5
 ;2007;3
 ;2008;6
 ;2009;8
 ;2010;7
 ;2011;9
 ;2012;10
 ;2013;13
 ;2014;16
 ;2015;12
 ;2016;10
Brda;;
 ;2006;10
 ;2007;19
 ;2008;7
 ;2009;8
 ;2010;8
 ;2011;9
 ;2012;5
 ;2013;13
 ;2014;9
 ;2015;11
 ;2016;10
Brezovica;;
 ;2006;5
 ;2007;15
 ;2008;11
 ;2009;19
 ;2010;14
 ;2011;18
 ;2012;26
 ;2013;36
 ;2014;27
 ;2015;33
 ;2016;11
Brežice;;
 ;2006;90
 ;2007;141
 ;2008;121
 ;2009;79
 ;2010;74
 ;2011;61
 ;2012;107
 ;2013;103
 ;2014;93
 ;2015;77
 ;2016;58
Cankova;;
 ;2006;z
 ;2007;4
 ;2008;4
 ;2009;z
 ;2010;9
 ;2011;5
 ;2012;0
 ;2013;5
 ;2014;7
 ;2015;3
 ;2016;9
Celje;;
 ;2006;244
 ;2007;291
 ;2008;244
 ;2009;239
 ;2010;298
 ;2011;211
 ;2012;223
 ;2013;357
 ;2014;337
 ;2015;231
 ;2016;199
Cerklje na Gorenjskem;;
 ;2006;8
 ;2007;8
 ;2008;8
 ;2009;8
 ;2010;10
 ;2011;6
 ;2012;12
 ;2013;11
 ;2014;15
 ;2015;12
 ;2016;13
Cerknica;;
 ;2006;29
 ;2007;34
 ;2008;22
 ;2009;29
 ;2010;15
 ;2011;21
 ;2012;24
 ;2013;42
 ;2014;19
 ;2015;31
 ;2016;14
Cerkno;;
 ;2006;z
 ;2007;3
 ;2008;5
 ;2009;4
 ;2010;6
 ;2011;6
 ;2012;4
 ;2013;4
 ;2014;8
 ;2015;4
 ;2016;5
Cerkvenjak;;
 ;2006;4
 ;2007;8
 ;2008;6
 ;2009;7
 ;2010;6
 ;2011;13
 ;2012;13
 ;2013;12
 ;2014;8
 ;2015;8
 ;2016;6
Cirkulane;;
 ;2006;0
 ;2007;10
 ;2008;9
 ;2009;9
 ;2010;9
 ;2011;7
 ;2012;5
 ;2013;6
 ;2014;7
 ;2015;z
 ;2016;5
Èrenšovci;;
 ;2006;27
 ;2007;29
 ;2008;34
 ;2009;26
 ;2010;25
 ;2011;31
 ;2012;17
 ;2013;30
 ;2014;30
 ;2015;29
 ;2016;17
Èrna na Koroškem;;
 ;2006;15
 ;2007;11
 ;2008;8
 ;2009;6
 ;2010;18
 ;2011;13
 ;2012;12
 ;2013;21
 ;2014;13
 ;2015;5
 ;2016;6
Èrnomelj;;
 ;2006;101
 ;2007;117
 ;2008;96
 ;2009;112
 ;2010;94
 ;2011;97
 ;2012;93
 ;2013;159
 ;2014;137
 ;2015;106
 ;2016;77
Destrnik;;
 ;2006;10
 ;2007;17
 ;2008;13
 ;2009;15
 ;2010;8
 ;2011;8
 ;2012;16
 ;2013;12
 ;2014;10
 ;2015;z
 ;2016;9
Divaèa;;
 ;2006;10
 ;2007;6
 ;2008;16
 ;2009;9
 ;2010;10
 ;2011;3
 ;2012;13
 ;2013;14
 ;2014;20
 ;2015;14
 ;2016;13
Dobje;;
 ;2006;0
 ;2007;0
 ;2008;0
 ;2009;0
 ;2010;z
 ;2011;z
 ;2012;z
 ;2013;3
 ;2014;z
 ;2015;4
 ;2016;0
Dobrepolje;;
 ;2006;z
 ;2007;7
 ;2008;9
 ;2009;12
 ;2010;9
 ;2011;z
 ;2012;z
 ;2013;13
 ;2014;7
 ;2015;8
 ;2016;12
Dobrna;;
 ;2006;z
 ;2007;4
 ;2008;z
 ;2009;6
 ;2010;10
 ;2011;6
 ;2012;4
 ;2013;7
 ;2014;5
 ;2015;5
 ;2016;7
Dobrova - Polhov Gradec;;
 ;2006;z
 ;2007;z
 ;2008;z
 ;2009;6
 ;2010;3
 ;2011;z
 ;2012;8
 ;2013;5
 ;2014;5
 ;2015;10
 ;2016;12
Dobrovnik/Dobronak;;
 ;2006;5
 ;2007;6
 ;2008;7
 ;2009;3
 ;2010;10
 ;2011;3
 ;2012;3
 ;2013;6
 ;2014;6
 ;2015;z
 ;2016;z
Dol pri Ljubljani;;
 ;2006;5
 ;2007;10
 ;2008;4
 ;2009;6
 ;2010;14
 ;2011;5
 ;2012;5
 ;2013;12
 ;2014;13
 ;2015;20
 ;2016;10
Dolenjske Toplice;;
 ;2006;7
 ;2007;9
 ;2008;12
 ;2009;13
 ;2010;15
 ;2011;8
 ;2012;13
 ;2013;13
 ;2014;9
 ;2015;10
 ;2016;11
Domžale;;
 ;2006;112
 ;2007;117
 ;2008;179
 ;2009;93
 ;2010;93
 ;2011;111
 ;2012;111
 ;2013;152
 ;2014;109
 ;2015;99
 ;2016;116
Dornava;;
 ;2006;6
 ;2007;8
 ;2008;14
 ;2009;11
 ;2010;10
 ;2011;11
 ;2012;4
 ;2013;17
 ;2014;3
 ;2015;7
 ;2016;12
Dravograd;;
 ;2006;42
 ;2007;30
 ;2008;35
 ;2009;49
 ;2010;43
 ;2011;29
 ;2012;34
 ;2013;43
 ;2014;34
 ;2015;23
 ;2016;19
Duplek;;
 ;2006;17
 ;2007;23
 ;2008;36
 ;2009;30
 ;2010;31
 ;2011;29
 ;2012;28
 ;2013;46
 ;2014;27
 ;2015;33
 ;2016;26
Gorenja vas - Poljane;;
 ;2006;11
 ;2007;9
 ;2008;6
 ;2009;6
 ;2010;z
 ;2011;5
 ;2012;z
 ;2013;7
 ;2014;14
 ;2015;13
 ;2016;7
Gorišnica;;
 ;2006;17
 ;2007;19
 ;2008;18
 ;2009;17
 ;2010;16
 ;2011;11
 ;2012;13
 ;2013;23
 ;2014;12
 ;2015;13
 ;2016;4
Gorje;;
 ;2006;0
 ;2007;0
 ;2008;6
 ;2009;4
 ;2010;4
 ;2011;5
 ;2012;4
 ;2013;5
 ;2014;9
 ;2015;6
 ;2016;5
Gornja Radgona;;
 ;2006;60
 ;2007;57
 ;2008;56
 ;2009;61
 ;2010;56
 ;2011;53
 ;2012;47
 ;2013;41
 ;2014;34
 ;2015;39
 ;2016;39
Gornji Grad;;
 ;2006;0
 ;2007;z
 ;2008;z
 ;2009;5
 ;2010;z
 ;2011;0
 ;2012;5
 ;2013;5
 ;2014;5
 ;2015;3
 ;2016;5
Gornji Petrovci;;
 ;2006;5
 ;2007;10
 ;2008;9
 ;2009;3
 ;2010;15
 ;2011;6
 ;2012;11
 ;2013;7
 ;2014;9
 ;2015;11
 ;2016;3
Grad;;
 ;2006;10
 ;2007;7
 ;2008;6
 ;2009;3
 ;2010;5
 ;2011;4
 ;2012;5
 ;2013;7
 ;2014;0
 ;2015;3
 ;2016;5
Grosuplje;;
 ;2006;50
 ;2007;69
 ;2008;93
 ;2009;58
 ;2010;53
 ;2011;103
 ;2012;100
 ;2013;123
 ;2014;134
 ;2015;86
 ;2016;69
Hajdina;;
 ;2006;6
 ;2007;11
 ;2008;26
 ;2009;13
 ;2010;17
 ;2011;16
 ;2012;20
 ;2013;27
 ;2014;15
 ;2015;15
 ;2016;21
Hoèe - Slivnica;;
 ;2006;13
 ;2007;19
 ;2008;33
 ;2009;40
 ;2010;38
 ;2011;23
 ;2012;28
 ;2013;39
 ;2014;34
 ;2015;50
 ;2016;51
Hodoš/Hodos;;
 ;2006;4
 ;2007;z
 ;2008;7
 ;2009;0
 ;2010;4
 ;2011;0
 ;2012;z
 ;2013;0
 ;2014;0
 ;2015;z
 ;2016;5
Horjul;;
 ;2006;z
 ;2007;z
 ;2008;3
 ;2009;3
 ;2010;3
 ;2011;z
 ;2012;z
 ;2013;6
 ;2014;6
 ;2015;6
 ;2016;z
Hrastnik;;
 ;2006;21
 ;2007;44
 ;2008;60
 ;2009;42
 ;2010;56
 ;2011;29
 ;2012;32
 ;2013;46
 ;2014;39
 ;2015;23
 ;2016;22
Hrpelje - Kozina;;
 ;2006;10
 ;2007;5
 ;2008;13
 ;2009;17
 ;2010;7
 ;2011;14
 ;2012;12
 ;2013;15
 ;2014;14
 ;2015;18
 ;2016;14
Idrija;;
 ;2006;16
 ;2007;22
 ;2008;23
 ;2009;10
 ;2010;21
 ;2011;20
 ;2012;21
 ;2013;27
 ;2014;21
 ;2015;18
 ;2016;16
Ig;;
 ;2006;17
 ;2007;20
 ;2008;30
 ;2009;16
 ;2010;23
 ;2011;18
 ;2012;17
 ;2013;36
 ;2014;19
 ;2015;24
 ;2016;13
Ilirska Bistrica;;
 ;2006;30
 ;2007;42
 ;2008;45
 ;2009;45
 ;2010;29
 ;2011;52
 ;2012;29
 ;2013;39
 ;2014;37
 ;2015;21
 ;2016;27
Ivanèna Gorica;;
 ;2006;36
 ;2007;17
 ;2008;29
 ;2009;17
 ;2010;19
 ;2011;21
 ;2012;14
 ;2013;43
 ;2014;26
 ;2015;37
 ;2016;35
Izola/Isola;;
 ;2006;90
 ;2007;83
 ;2008;75
 ;2009;76
 ;2010;74
 ;2011;57
 ;2012;71
 ;2013;108
 ;2014;91
 ;2015;52
 ;2016;45
Jesenice;;
 ;2006;147
 ;2007;147
 ;2008;152
 ;2009;100
 ;2010;95
 ;2011;95
 ;2012;102
 ;2013;95
 ;2014;105
 ;2015;59
 ;2016;74
Jezersko;;
 ;2006;z
 ;2007;z
 ;2008;z
 ;2009;z
 ;2010;0
 ;2011;z
 ;2012;z
 ;2013;4
 ;2014;0
 ;2015;0
 ;2016;0
Juršinci;;
 ;2006;5
 ;2007;8
 ;2008;11
 ;2009;9
 ;2010;10
 ;2011;11
 ;2012;5
 ;2013;8
 ;2014;6
 ;2015;7
 ;2016;10
Kamnik;;
 ;2006;125
 ;2007;134
 ;2008;102
 ;2009;72
 ;2010;82
 ;2011;104
 ;2012;85
 ;2013;141
 ;2014;92
 ;2015;96
 ;2016;82
Kanal;;
 ;2006;11
 ;2007;11
 ;2008;9
 ;2009;12
 ;2010;12
 ;2011;8
 ;2012;8
 ;2013;14
 ;2014;13
 ;2015;14
 ;2016;15
Kidrièevo;;
 ;2006;16
 ;2007;24
 ;2008;25
 ;2009;14
 ;2010;27
 ;2011;23
 ;2012;27
 ;2013;35
 ;2014;21
 ;2015;20
 ;2016;26
Kobarid;;
 ;2006;7
 ;2007;4
 ;2008;5
 ;2009;5
 ;2010;7
 ;2011;z
 ;2012;3
 ;2013;3
 ;2014;9
 ;2015;6
 ;2016;5
Kobilje;;
 ;2006;z
 ;2007;z
 ;2008;3
 ;2009;z
 ;2010;0
 ;2011;0
 ;2012;z
 ;2013;5
 ;2014;3
 ;2015;6
 ;2016;z
Koèevje;;
 ;2006;98
 ;2007;82
 ;2008;152
 ;2009;163
 ;2010;178
 ;2011;149
 ;2012;155
 ;2013;195
 ;2014;179
 ;2015;134
 ;2016;147
Komen;;
 ;2006;9
 ;2007;3
 ;2008;7
 ;2009;z
 ;2010;3
 ;2011;3
 ;2012;10
 ;2013;6
 ;2014;7
 ;2015;7
 ;2016;4
Komenda;;
 ;2006;4
 ;2007;9
 ;2008;5
 ;2009;14
 ;2010;3
 ;2011;10
 ;2012;6
 ;2013;18
 ;2014;15
 ;2015;11
 ;2016;9
Koper/Capodistria;;
 ;2006;275
 ;2007;244
 ;2008;238
 ;2009;218
 ;2010;217
 ;2011;186
 ;2012;278
 ;2013;343
 ;2014;270
 ;2015;219
 ;2016;183
Kostanjevica na Krki;;
 ;2006;0
 ;2007;3
 ;2008;0
 ;2009;4
 ;2010;4
 ;2011;z
 ;2012;10
 ;2013;9
 ;2014;5
 ;2015;5
 ;2016;5
Kostel;;
 ;2006;z
 ;2007;0
 ;2008;z
 ;2009;z
 ;2010;z
 ;2011;z
 ;2012;4
 ;2013;3
 ;2014;z
 ;2015;z
 ;2016;0
Kozje;;
 ;2006;7
 ;2007;6
 ;2008;10
 ;2009;8
 ;2010;3
 ;2011;z
 ;2012;9
 ;2013;5
 ;2014;6
 ;2015;7
 ;2016;7
Kranj;;
 ;2006;241
 ;2007;210
 ;2008;150
 ;2009;124
 ;2010;138
 ;2011;134
 ;2012;199
 ;2013;212
 ;2014;212
 ;2015;147
 ;2016;111
Kranjska Gora;;
 ;2006;27
 ;2007;11
 ;2008;15
 ;2009;12
 ;2010;9
 ;2011;11
 ;2012;12
 ;2013;9
 ;2014;13
 ;2015;22
 ;2016;7
Križevci;;
 ;2006;12
 ;2007;4
 ;2008;6
 ;2009;3
 ;2010;5
 ;2011;11
 ;2012;5
 ;2013;8
 ;2014;8
 ;2015;17
 ;2016;8
Krško;;
 ;2006;186
 ;2007;199
 ;2008;188
 ;2009;118
 ;2010;131
 ;2011;97
 ;2012;143
 ;2013;137
 ;2014;146
 ;2015;125
 ;2016;94
Kungota;;
 ;2006;11
 ;2007;12
 ;2008;21
 ;2009;19
 ;2010;12
 ;2011;14
 ;2012;15
 ;2013;20
 ;2014;12
 ;2015;19
 ;2016;19
Kuzma;;
 ;2006;6
 ;2007;5
 ;2008;10
 ;2009;4
 ;2010;3
 ;2011;8
 ;2012;4
 ;2013;9
 ;2014;6
 ;2015;z
 ;2016;3
Laško;;
 ;2006;47
 ;2007;38
 ;2008;46
 ;2009;44
 ;2010;61
 ;2011;34
 ;2012;56
 ;2013;60
 ;2014;45
 ;2015;40
 ;2016;28
Lenart;;
 ;2006;64
 ;2007;55
 ;2008;61
 ;2009;53
 ;2010;44
 ;2011;35
 ;2012;54
 ;2013;61
 ;2014;52
 ;2015;27
 ;2016;29
Lendava/Lendva;;
 ;2006;74
 ;2007;64
 ;2008;74
 ;2009;62
 ;2010;82
 ;2011;69
 ;2012;71
 ;2013;88
 ;2014;65
 ;2015;57
 ;2016;40
Litija;;
 ;2006;63
 ;2007;75
 ;2008;59
 ;2009;46
 ;2010;65
 ;2011;35
 ;2012;40
 ;2013;70
 ;2014;71
 ;2015;39
 ;2016;39
Ljubljana;;
 ;2006;1213
 ;2007;1158
 ;2008;1085
 ;2009;970
 ;2010;959
 ;2011;969
 ;2012;988
 ;2013;1757
 ;2014;1323
 ;2015;1093
 ;2016;932
Ljubno;;
 ;2006;0
 ;2007;z
 ;2008;3
 ;2009;z
 ;2010;4
 ;2011;4
 ;2012;7
 ;2013;6
 ;2014;9
 ;2015;6
 ;2016;7
Ljutomer;;
 ;2006;79
 ;2007;85
 ;2008;102
 ;2009;79
 ;2010;82
 ;2011;70
 ;2012;88
 ;2013;78
 ;2014;58
 ;2015;33
 ;2016;39
Log - Dragomer;;
 ;2006;0
 ;2007;z
 ;2008;4
 ;2009;z
 ;2010;z
 ;2011;z
 ;2012;z
 ;2013;10
 ;2014;4
 ;2015;7
 ;2016;7
Logatec;;
 ;2006;29
 ;2007;32
 ;2008;32
 ;2009;18
 ;2010;33
 ;2011;31
 ;2012;17
 ;2013;50
 ;2014;28
 ;2015;28
 ;2016;29
Loška dolina;;
 ;2006;7
 ;2007;4
 ;2008;z
 ;2009;7
 ;2010;7
 ;2011;3
 ;2012;3
 ;2013;7
 ;2014;9
 ;2015;5
 ;2016;0
Loški Potok;;
 ;2006;4
 ;2007;z
 ;2008;z
 ;2009;7
 ;2010;4
 ;2011;0
 ;2012;z
 ;2013;6
 ;2014;4
 ;2015;6
 ;2016;8
Lovrenc na Pohorju;;
 ;2006;z
 ;2007;5
 ;2008;10
 ;2009;11
 ;2010;12
 ;2011;10
 ;2012;z
 ;2013;4
 ;2014;9
 ;2015;5
 ;2016;7
Luèe;;
 ;2006;0
 ;2007;0
 ;2008;0
 ;2009;0
 ;2010;z
 ;2011;0
 ;2012;0
 ;2013;0
 ;2014;0
 ;2015;z
 ;2016;z
Lukovica;;
 ;2006;8
 ;2007;15
 ;2008;22
 ;2009;9
 ;2010;8
 ;2011;4
 ;2012;13
 ;2013;20
 ;2014;3
 ;2015;18
 ;2016;13
Majšperk;;
 ;2006;10
 ;2007;7
 ;2008;10
 ;2009;18
 ;2010;16
 ;2011;11
 ;2012;12
 ;2013;16
 ;2014;11
 ;2015;8
 ;2016;15
Makole;;
 ;2006;0
 ;2007;4
 ;2008;7
 ;2009;9
 ;2010;6
 ;2011;4
 ;2012;4
 ;2013;8
 ;2014;3
 ;2015;7
 ;2016;7
Maribor;;
 ;2006;814
 ;2007;776
 ;2008;805
 ;2009;911
 ;2010;794
 ;2011;783
 ;2012;880
 ;2013;972
 ;2014;840
 ;2015;653
 ;2016;555
Markovci;;
 ;2006;12
 ;2007;10
 ;2008;24
 ;2009;11
 ;2010;7
 ;2011;12
 ;2012;8
 ;2013;13
 ;2014;6
 ;2015;22
 ;2016;11
Medvode;;
 ;2006;23
 ;2007;31
 ;2008;38
 ;2009;23
 ;2010;29
 ;2011;30
 ;2012;34
 ;2013;62
 ;2014;38
 ;2015;44
 ;2016;38
Mengeš;;
 ;2006;20
 ;2007;19
 ;2008;23
 ;2009;12
 ;2010;21
 ;2011;15
 ;2012;10
 ;2013;23
 ;2014;19
 ;2015;17
 ;2016;15
Metlika;;
 ;2006;35
 ;2007;32
 ;2008;33
 ;2009;33
 ;2010;24
 ;2011;32
 ;2012;33
 ;2013;80
 ;2014;32
 ;2015;43
 ;2016;54
Mežica;;
 ;2006;17
 ;2007;17
 ;2008;18
 ;2009;11
 ;2010;6
 ;2011;8
 ;2012;21
 ;2013;13
 ;2014;6
 ;2015;8
 ;2016;14
Miklavž na Dravskem polju;;
 ;2006;13
 ;2007;20
 ;2008;20
 ;2009;42
 ;2010;27
 ;2011;36
 ;2012;47
 ;2013;57
 ;2014;28
 ;2015;24
 ;2016;15
Miren - Kostanjevica;;
 ;2006;15
 ;2007;14
 ;2008;13
 ;2009;6
 ;2010;9
 ;2011;11
 ;2012;7
 ;2013;9
 ;2014;9
 ;2015;10
 ;2016;8
Mirna;;
 ;2006;0
 ;2007;0
 ;2008;0
 ;2009;0
 ;2010;0
 ;2011;0
 ;2012;5
 ;2013;z
 ;2014;7
 ;2015;8
 ;2016;z
Mirna Peè;;
 ;2006;z
 ;2007;6
 ;2008;5
 ;2009;3
 ;2010;3
 ;2011;5
 ;2012;5
 ;2013;8
 ;2014;17
 ;2015;6
 ;2016;9
Mislinja;;
 ;2006;22
 ;2007;14
 ;2008;20
 ;2009;16
 ;2010;19
 ;2011;12
 ;2012;20
 ;2013;23
 ;2014;15
 ;2015;11
 ;2016;7
Mokronog - Trebelno;;
 ;2006;0
 ;2007;z
 ;2008;0
 ;2009;z
 ;2010;z
 ;2011;3
 ;2012;17
 ;2013;4
 ;2014;4
 ;2015;8
 ;2016;7
Moravèe;;
 ;2006;7
 ;2007;11
 ;2008;12
 ;2009;13
 ;2010;4
 ;2011;6
 ;2012;z
 ;2013;11
 ;2014;7
 ;2015;8
 ;2016;6
Moravske Toplice;;
 ;2006;20
 ;2007;20
 ;2008;21
 ;2009;26
 ;2010;21
 ;2011;23
 ;2012;21
 ;2013;22
 ;2014;22
 ;2015;26
 ;2016;15
Mozirje;;
 ;2006;37
 ;2007;22
 ;2008;30
 ;2009;16
 ;2010;24
 ;2011;17
 ;2012;23
 ;2013;21
 ;2014;25
 ;2015;9
 ;2016;9
Murska Sobota;;
 ;2006;221
 ;2007;288
 ;2008;197
 ;2009;145
 ;2010;112
 ;2011;123
 ;2012;140
 ;2013;170
 ;2014;133
 ;2015;99
 ;2016;114
Muta;;
 ;2006;12
 ;2007;8
 ;2008;20
 ;2009;11
 ;2010;17
 ;2011;10
 ;2012;12
 ;2013;6
 ;2014;11
 ;2015;11
 ;2016;9
Naklo;;
 ;2006;6
 ;2007;4
