"";"Investitor";"Regija";"Tip.objekta";"Leto";"Število.stavb";"Površina.stavb.......m2."
"223";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2009;108;59433
"224";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2010;91;19168
"225";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2011;98;22159
"226";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2012;55;14256
"227";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2013;50;10699
"228";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2014;54;18044
"229";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2015;302;34961
"230";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2016;364;50738
"231";"Investitor - SKUPAJ";"Posavska";"Nestanovanjske stavbe";2017;317;49432
"232";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2007;507;182847
"233";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2008;397;108663
"234";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2009;339;103148
"235";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2010;383;118609
"236";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2011;414;126847
"237";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2012;384;140539
"238";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2013;381;118505
"239";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2014;452;135572
"240";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2015;770;147978
"241";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2016;751;160314
"242";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Tip stavbe - SKUPAJ";2017;808;197275
"243";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2007;342;120912
"244";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2008;235;63541
"245";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2009;194;59284
"246";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2010;200;51819
"247";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2011;214;59420
"248";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2012;234;61377
"249";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2013;215;57251
"250";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2014;261;65021
"251";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2015;276;66809
"252";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2016;204;56669
"253";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Stanovanjske stavbe";2017;227;55232
"254";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2007;165;61935
"255";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2008;162;45122
"256";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2009;145;43864
"257";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2010;183;66790
"258";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2011;200;67427
"259";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2012;150;79162
"260";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2013;166;61254
"261";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2014;191;70551
"262";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2015;494;81169
"263";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2016;547;103645
"264";"Investitor - SKUPAJ";"Jugovzhodna Slovenija";"Nestanovanjske stavbe";2017;581;142043
"265";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2007;1180;959201
"266";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2008;1014;624277
"267";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2009;906;545754
"268";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2010;681;579762
"269";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2011;633;364141
"270";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2012;629;244228
"271";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2013;718;343689
"272";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2014;587;217703
"273";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2015;499;168995
"274";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2016;948;287770
"275";"Investitor - SKUPAJ";"Osrednjeslovenska";"Tip stavbe - SKUPAJ";2017;946;349742
"276";"Investitor - SKUPAJ";"Osrednjeslovenska";"Stanovanjske stavbe";2007;1037;621476
"277";"Investitor - SKUPAJ";"Osrednjeslovenska";"Stanovanjske stavbe";2008;879;449282
"278";"Investitor - SKUPAJ";"Osrednjeslovenska";"Stanovanjske stavbe";2009;786;321241
"279";"Investitor - SKUPAJ";"Osrednjeslovenska";"Stanovanjske stavbe";2010;558;373385
"280";"Investitor - SKUPAJ";"Osrednjeslovenska";"Stanovanjske stavbe";2011;532;155159
"281";"Investitor - SKUPAJ";"Osrednjeslovenska";"Stanovanjske stavbe";2012;521;133788
"282";"Investitor - SKUPAJ";"Osrednjeslovenska";"Stanovanjske stavbe";2013;598;212457
"283";"Investitor - SKUPAJ";"Osrednjeslovenska";"Stanovanjske stavbe";2014;501;138100
"284";"Investitor - SKUPAJ";"Osrednjeslovenska";"Stanovanjske stavbe";2015;404;107813
"285";"Investitor - SKUPAJ";"Osrednjeslovenska";"Stanovanjske stavbe";2016;616;158208
"286";"Investitor - SKUPAJ";"Osrednjeslovenska";"Stanovanjske stavbe";2017;587;190917
"287";"Investitor - SKUPAJ";"Osrednjeslovenska";"Nestanovanjske stavbe";2007;143;337725
"288";"Investitor - SKUPAJ";"Osrednjeslovenska";"Nestanovanjske stavbe";2008;135;174995
"289";"Investitor - SKUPAJ";"Osrednjeslovenska";"Nestanovanjske stavbe";2009;120;224513
"290";"Investitor - SKUPAJ";"Osrednjeslovenska";"Nestanovanjske stavbe";2010;123;206377
"291";"Investitor - SKUPAJ";"Osrednjeslovenska";"Nestanovanjske stavbe";2011;101;208982
"292";"Investitor - SKUPAJ";"Osrednjeslovenska";"Nestanovanjske stavbe";2012;108;110440
"293";"Investitor - SKUPAJ";"Osrednjeslovenska";"Nestanovanjske stavbe";2013;120;131232
"294";"Investitor - SKUPAJ";"Osrednjeslovenska";"Nestanovanjske stavbe";2014;86;79603
"295";"Investitor - SKUPAJ";"Osrednjeslovenska";"Nestanovanjske stavbe";2015;95;61182
"296";"Investitor - SKUPAJ";"Osrednjeslovenska";"Nestanovanjske stavbe";2016;332;129562
"297";"Investitor - SKUPAJ";"Osrednjeslovenska";"Nestanovanjske stavbe";2017;359;158825
"298";"Investitor - SKUPAJ";"Gorenjska";"Tip stavbe - SKUPAJ";2007;595;401129
"299";"Investitor - SKUPAJ";"Gorenjska";"Tip stavbe - SKUPAJ";2008;525;303135
"300";"Investitor - SKUPAJ";"Gorenjska";"Tip stavbe - SKUPAJ";2009;496;249415
"301";"Investitor - SKUPAJ";"Gorenjska";"Tip stavbe - SKUPAJ";2010;307;147495
"302";"Investitor - SKUPAJ";"Gorenjska";"Tip stavbe - SKUPAJ";2011;312;143862
"303";"Investitor - SKUPAJ";"Gorenjska";"Tip stavbe - SKUPAJ";2012;303;148549
"304";"Investitor - SKUPAJ";"Gorenjska";"Tip stavbe - SKUPAJ";2013;279;126338
"305";"Investitor - SKUPAJ";"Gorenjska";"Tip stavbe - SKUPAJ";2014;225;81936
"306";"Investitor - SKUPAJ";"Gorenjska";"Tip stavbe - SKUPAJ";2015;292;98817
"307";"Investitor - SKUPAJ";"Gorenjska";"Tip stavbe - SKUPAJ";2016;381;137200
"308";"Investitor - SKUPAJ";"Gorenjska";"Tip stavbe - SKUPAJ";2017;385;157651
"309";"Investitor - SKUPAJ";"Gorenjska";"Stanovanjske stavbe";2007;485;216816
"310";"Investitor - SKUPAJ";"Gorenjska";"Stanovanjske stavbe";2008;421;175662
"311";"Investitor - SKUPAJ";"Gorenjska";"Stanovanjske stavbe";2009;414;154478
"312";"Investitor - SKUPAJ";"Gorenjska";"Stanovanjske stavbe";2010;232;96683
"313";"Investitor - SKUPAJ";"Gorenjska";"Stanovanjske stavbe";2011;242;74643
"314";"Investitor - SKUPAJ";"Gorenjska";"Stanovanjske stavbe";2012;246;93252
"315";"Investitor - SKUPAJ";"Gorenjska";"Stanovanjske stavbe";2013;222;65643
"316";"Investitor - SKUPAJ";"Gorenjska";"Stanovanjske stavbe";2014;184;49845
"317";"Investitor - SKUPAJ";"Gorenjska";"Stanovanjske stavbe";2015;219;57548
"318";"Investitor - SKUPAJ";"Gorenjska";"Stanovanjske stavbe";2016;218;70614
"319";"Investitor - SKUPAJ";"Gorenjska";"Stanovanjske stavbe";2017;229;61618
"320";"Investitor - SKUPAJ";"Gorenjska";"Nestanovanjske stavbe";2007;110;184313
"321";"Investitor - SKUPAJ";"Gorenjska";"Nestanovanjske stavbe";2008;104;127473
"322";"Investitor - SKUPAJ";"Gorenjska";"Nestanovanjske stavbe";2009;82;94937
"323";"Investitor - SKUPAJ";"Gorenjska";"Nestanovanjske stavbe";2010;75;50812
"324";"Investitor - SKUPAJ";"Gorenjska";"Nestanovanjske stavbe";2011;70;69219
"325";"Investitor - SKUPAJ";"Gorenjska";"Nestanovanjske stavbe";2012;57;55297
"326";"Investitor - SKUPAJ";"Gorenjska";"Nestanovanjske stavbe";2013;57;60695
"327";"Investitor - SKUPAJ";"Gorenjska";"Nestanovanjske stavbe";2014;41;32091
"328";"Investitor - SKUPAJ";"Gorenjska";"Nestanovanjske stavbe";2015;73;41269
"329";"Investitor - SKUPAJ";"Gorenjska";"Nestanovanjske stavbe";2016;163;66586
"330";"Investitor - SKUPAJ";"Gorenjska";"Nestanovanjske stavbe";2017;156;96033
"331";"Investitor - SKUPAJ";"Primorsko-notranjska";"Tip stavbe - SKUPAJ";2007;179;104408
"332";"Investitor - SKUPAJ";"Primorsko-notranjska";"Tip stavbe - SKUPAJ";2008;160;99690
"333";"Investitor - SKUPAJ";"Primorsko-notranjska";"Tip stavbe - SKUPAJ";2009;171;66010
"334";"Investitor - SKUPAJ";"Primorsko-notranjska";"Tip stavbe - SKUPAJ";2010;152;69626
"335";"Investitor - SKUPAJ";"Primorsko-notranjska";"Tip stavbe - SKUPAJ";2011;98;45415
"336";"Investitor - SKUPAJ";"Primorsko-notranjska";"Tip stavbe - SKUPAJ";2012;97;60716
"337";"Investitor - SKUPAJ";"Primorsko-notranjska";"Tip stavbe - SKUPAJ";2013;83;40231
"338";"Investitor - SKUPAJ";"Primorsko-notranjska";"Tip stavbe - SKUPAJ";2014;89;28661
"339";"Investitor - SKUPAJ";"Primorsko-notranjska";"Tip stavbe - SKUPAJ";2015;195;49423
"340";"Investitor - SKUPAJ";"Primorsko-notranjska";"Tip stavbe - SKUPAJ";2016;232;49965
"341";"Investitor - SKUPAJ";"Primorsko-notranjska";"Tip stavbe - SKUPAJ";2017;209;47660
"342";"Investitor - SKUPAJ";"Primorsko-notranjska";"Stanovanjske stavbe";2007;128;68391
"343";"Investitor - SKUPAJ";"Primorsko-notranjska";"Stanovanjske stavbe";2008;116;33571
"344";"Investitor - SKUPAJ";"Primorsko-notranjska";"Stanovanjske stavbe";2009;129;38000
"345";"Investitor - SKUPAJ";"Primorsko-notranjska";"Stanovanjske stavbe";2010;122;40665
"346";"Investitor - SKUPAJ";"Primorsko-notranjska";"Stanovanjske stavbe";2011;71;17958
"347";"Investitor - SKUPAJ";"Primorsko-notranjska";"Stanovanjske stavbe";2012;74;21578
"348";"Investitor - SKUPAJ";"Primorsko-notranjska";"Stanovanjske stavbe";2013;54;14026
"349";"Investitor - SKUPAJ";"Primorsko-notranjska";"Stanovanjske stavbe";2014;53;12574
"350";"Investitor - SKUPAJ";"Primorsko-notranjska";"Stanovanjske stavbe";2015;82;22085
"351";"Investitor - SKUPAJ";"Primorsko-notranjska";"Stanovanjske stavbe";2016;65;16460
"352";"Investitor - SKUPAJ";"Primorsko-notranjska";"Stanovanjske stavbe";2017;52;12259
"353";"Investitor - SKUPAJ";"Primorsko-notranjska";"Nestanovanjske stavbe";2007;51;36017
"354";"Investitor - SKUPAJ";"Primorsko-notranjska";"Nestanovanjske stavbe";2008;44;66119
"355";"Investitor - SKUPAJ";"Primorsko-notranjska";"Nestanovanjske stavbe";2009;42;28010
"356";"Investitor - SKUPAJ";"Primorsko-notranjska";"Nestanovanjske stavbe";2010;30;28961
"357";"Investitor - SKUPAJ";"Primorsko-notranjska";"Nestanovanjske stavbe";2011;27;27457
"358";"Investitor - SKUPAJ";"Primorsko-notranjska";"Nestanovanjske stavbe";2012;23;39138
"359";"Investitor - SKUPAJ";"Primorsko-notranjska";"Nestanovanjske stavbe";2013;29;26205
"360";"Investitor - SKUPAJ";"Primorsko-notranjska";"Nestanovanjske stavbe";2014;36;16087
"361";"Investitor - SKUPAJ";"Primorsko-notranjska";"Nestanovanjske stavbe";2015;113;27338
"362";"Investitor - SKUPAJ";"Primorsko-notranjska";"Nestanovanjske stavbe";2016;167;33505
"363";"Investitor - SKUPAJ";"Primorsko-notranjska";"Nestanovanjske stavbe";2017;157;35401
"364";"Investitor - SKUPAJ";"Goriška";"Tip stavbe - SKUPAJ";2007;342;163149
"365";"Investitor - SKUPAJ";"Goriška";"Tip stavbe - SKUPAJ";2008;332;249596
"366";"Investitor - SKUPAJ";"Goriška";"Tip stavbe - SKUPAJ";2009;333;186817
"367";"Investitor - SKUPAJ";"Goriška";"Tip stavbe - SKUPAJ";2010;236;105471
"368";"Investitor - SKUPAJ";"Goriška";"Tip stavbe - SKUPAJ";2011;253;132749
"369";"Investitor - SKUPAJ";"Goriška";"Tip stavbe - SKUPAJ";2012;217;100212
"370";"Investitor - SKUPAJ";"Goriška";"Tip stavbe - SKUPAJ";2013;258;87973
"371";"Investitor - SKUPAJ";"Goriška";"Tip stavbe - SKUPAJ";2014;210;65252
"372";"Investitor - SKUPAJ";"Goriška";"Tip stavbe - SKUPAJ";2015;453;94712
"373";"Investitor - SKUPAJ";"Goriška";"Tip stavbe - SKUPAJ";2016;430;109471
"374";"Investitor - SKUPAJ";"Goriška";"Tip stavbe - SKUPAJ";2017;357;95307
"375";"Investitor - SKUPAJ";"Goriška";"Stanovanjske stavbe";2007;245;92342
"376";"Investitor - SKUPAJ";"Goriška";"Stanovanjske stavbe";2008;255;123956
"377";"Investitor - SKUPAJ";"Goriška";"Stanovanjske stavbe";2009;237;90885
"378";"Investitor - SKUPAJ";"Goriška";"Stanovanjske stavbe";2010;170;58420
"379";"Investitor - SKUPAJ";"Goriška";"Stanovanjske stavbe";2011;165;60200
"380";"Investitor - SKUPAJ";"Goriška";"Stanovanjske stavbe";2012;160;47770
"381";"Investitor - SKUPAJ";"Goriška";"Stanovanjske stavbe";2013;184;51904
"382";"Investitor - SKUPAJ";"Goriška";"Stanovanjske stavbe";2014;151;44177
"383";"Investitor - SKUPAJ";"Goriška";"Stanovanjske stavbe";2015;180;49903
"384";"Investitor - SKUPAJ";"Goriška";"Stanovanjske stavbe";2016;131;38624
"385";"Investitor - SKUPAJ";"Goriška";"Stanovanjske stavbe";2017;122;36442
"386";"Investitor - SKUPAJ";"Goriška";"Nestanovanjske stavbe";2007;97;70807
"387";"Investitor - SKUPAJ";"Goriška";"Nestanovanjske stavbe";2008;77;125640
"388";"Investitor - SKUPAJ";"Goriška";"Nestanovanjske stavbe";2009;96;95932
"389";"Investitor - SKUPAJ";"Goriška";"Nestanovanjske stavbe";2010;66;47051
"390";"Investitor - SKUPAJ";"Goriška";"Nestanovanjske stavbe";2011;88;72549
"391";"Investitor - SKUPAJ";"Goriška";"Nestanovanjske stavbe";2012;57;52442
"392";"Investitor - SKUPAJ";"Goriška";"Nestanovanjske stavbe";2013;74;36069
"393";"Investitor - SKUPAJ";"Goriška";"Nestanovanjske stavbe";2014;59;21075
"394";"Investitor - SKUPAJ";"Goriška";"Nestanovanjske stavbe";2015;273;44809
"395";"Investitor - SKUPAJ";"Goriška";"Nestanovanjske stavbe";2016;299;70847
"396";"Investitor - SKUPAJ";"Goriška";"Nestanovanjske stavbe";2017;235;58865
"397";"Investitor - SKUPAJ";"Obalno-kraška";"Tip stavbe - SKUPAJ";2007;361;215637
"398";"Investitor - SKUPAJ";"Obalno-kraška";"Tip stavbe - SKUPAJ";2008;282;201787
"399";"Investitor - SKUPAJ";"Obalno-kraška";"Tip stavbe - SKUPAJ";2009;244;112007
"400";"Investitor - SKUPAJ";"Obalno-kraška";"Tip stavbe - SKUPAJ";2010;173;180300
"401";"Investitor - SKUPAJ";"Obalno-kraška";"Tip stavbe - SKUPAJ";2011;145;136399
"402";"Investitor - SKUPAJ";"Obalno-kraška";"Tip stavbe - SKUPAJ";2012;107;42910
"403";"Investitor - SKUPAJ";"Obalno-kraška";"Tip stavbe - SKUPAJ";2013;114;31133
"404";"Investitor - SKUPAJ";"Obalno-kraška";"Tip stavbe - SKUPAJ";2014;80;31863
"405";"Investitor - SKUPAJ";"Obalno-kraška";"Tip stavbe - SKUPAJ";2015;133;50049
"406";"Investitor - SKUPAJ";"Obalno-kraška";"Tip stavbe - SKUPAJ";2016;188;53680
"407";"Investitor - SKUPAJ";"Obalno-kraška";"Tip stavbe - SKUPAJ";2017;211;67457
"408";"Investitor - SKUPAJ";"Obalno-kraška";"Stanovanjske stavbe";2007;305;148318
"409";"Investitor - SKUPAJ";"Obalno-kraška";"Stanovanjske stavbe";2008;240;135965
"410";"Investitor - SKUPAJ";"Obalno-kraška";"Stanovanjske stavbe";2009;217;61146
"411";"Investitor - SKUPAJ";"Obalno-kraška";"Stanovanjske stavbe";2010;142;65096
"412";"Investitor - SKUPAJ";"Obalno-kraška";"Stanovanjske stavbe";2011;130;60583
"413";"Investitor - SKUPAJ";"Obalno-kraška";"Stanovanjske stavbe";2012;91;26663
"414";"Investitor - SKUPAJ";"Obalno-kraška";"Stanovanjske stavbe";2013;99;25739
"415";"Investitor - SKUPAJ";"Obalno-kraška";"Stanovanjske stavbe";2014;69;24887
"416";"Investitor - SKUPAJ";"Obalno-kraška";"Stanovanjske stavbe";2015;117;41802
"417";"Investitor - SKUPAJ";"Obalno-kraška";"Stanovanjske stavbe";2016;106;27181
"418";"Investitor - SKUPAJ";"Obalno-kraška";"Stanovanjske stavbe";2017;112;30620
"419";"Investitor - SKUPAJ";"Obalno-kraška";"Nestanovanjske stavbe";2007;56;67319
"420";"Investitor - SKUPAJ";"Obalno-kraška";"Nestanovanjske stavbe";2008;42;65822
"421";"Investitor - SKUPAJ";"Obalno-kraška";"Nestanovanjske stavbe";2009;27;50861
"422";"Investitor - SKUPAJ";"Obalno-kraška";"Nestanovanjske stavbe";2010;31;115204
"423";"Investitor - SKUPAJ";"Obalno-kraška";"Nestanovanjske stavbe";2011;15;75816
"424";"Investitor - SKUPAJ";"Obalno-kraška";"Nestanovanjske stavbe";2012;16;16247
"425";"Investitor - SKUPAJ";"Obalno-kraška";"Nestanovanjske stavbe";2013;15;5394
"426";"Investitor - SKUPAJ";"Obalno-kraška";"Nestanovanjske stavbe";2014;11;6976
"427";"Investitor - SKUPAJ";"Obalno-kraška";"Nestanovanjske stavbe";2015;16;8247
"428";"Investitor - SKUPAJ";"Obalno-kraška";"Nestanovanjske stavbe";2016;82;26499
"429";"Investitor - SKUPAJ";"Obalno-kraška";"Nestanovanjske stavbe";2017;99;36837
